英文,詞性,中文,備註
pandemic,n,流行病,(n) a disease that exists in almost all of an area
pandemic,a,流行的,"(a) (of a disease) existing in almost all of an area
Ex: In some parts of the world malaria is still pandemic.
例如：在世界某些地區，瘧疾仍然流行。"
coronavirus,n,冠狀病毒,"(n) a type of virus that causes diseases in humans and animals. In humans, it usually causes 
respiratory infections (= in the nose, throat, or chest) that are not serious
Ex: SARS was a new strain of coronavirus.
例如：SARS是冠狀病毒的一種新株。"
corona,n,（身體組織）冠，冠狀部,"(n) the top rounded part of a body part such as a tooth or the skull,
"
viral,a,病毒的,"(a) caused by a virus, 
Ex: Within days the film clip went viral
例如：幾天之內，這段影片就迅速走紅。"
pneumonia,n,肺炎,"(n) a serious illness in which one or both lungs become inflamed and fill with fluid, 
Ex: The doctor checked whether the patient had pneumonia.
例如：醫生檢查了病人是否有肺炎。"
symptom,n,（疾病的）癥狀,"(n) any feeling of illness or physical or mental change that is caused by a particular disease
Ex: He's complaining of all the usual flu symptoms - a high temperature, headache, and so on
例如：他抱怨自己出現了所有常見的流感症狀──高燒、頭痛等等。"
fever,n,發燒,"(n) a condition in which body temperature is higher than normal,
Ex: A high fever is a common symptom of infection
例如：高燒是感染的常見症狀。"
cough,n,咳，咳嗽,"(n) to force air out of your lungs through your throat with a short, loud sound
Ex: The smoke made me cough
例如：煙霧讓我咳嗽"
fatigue,n,疲勞,"(n) extreme tiredness, especially caused by illness or hard work
Ex: Many patients reported fatigue after infection.
例：許多患者在感染後表示感到疲倦。"
smell,n,嗅覺；氣味.,"(n) the ability to notice odors with the nose; a particular odor,

Ex: Some people temporarily lose their sense of smell.
例如：有些人暫時失去了嗅覺。"
nasal,a,鼻的,"(a) related to the nose, 
Ex: nasal passages, 鼻道
Ex: nasal congestion, 鼻塞"
congestion,n,擁擠，阻塞,"(n) a situation in which a place is too blocked or crowded, causing difficulties, 
Ex: These facilities are designed to ease the congestion of emergency rooms
例如：這些設施旨在緩解急診室的擁擠狀況。"
conjunctivitis,n,結膜炎,"(n) a painful infection of the eyes that makes them red and makes the eyelids swollen 
and sticky, "
sore,a,痛的，疼痛的,"(a) painful and uncomfortable because of injury, infection, or too much use, 

Ex: All the dust has made my eyes sore.
例如：灰塵讓我的眼睛很痛。
Ex: sore throat.
例如：喉嚨痛。"
headache,n,頭痛,"(n) a pain in the head.
Ex: She had a headache and a sore throat
例如：她頭痛又喉嚨痛。"
muscle,n,肌肉,"(n) one of the tissues in the body that makes movement possible.
Ex: COVID-19 may cause muscle pain.
例如：新冠病毒感染可能導致肌肉疼痛。"
joint,n,關節,"(n) a place in your body where two bones are connected
Ex: an elbow/hip/knee joint, 肘/ 髖/ 膝關節"
diarrhea,n,腹瀉,"(n) an illness in which the body's solid waste is more liquid than usual and comes out of the body more often, 
Ex: an attack of diarrhoea, 腹瀉發作"
rash,n,皮疹，疹子,"(n) a lot of small red spots on the skin, 
Ex: I've got an itchy rash all over my chest.
例如：我胸口長滿了癢癢的皮疹。"
chill,n,寒冷;寒意，涼意,"(n) a feeling of cold, 
Ex: There was a chill in the air this morning.
例如：今天早上空氣中瀰漫著一絲寒意。"
dizziness,n,眩暈,"(n) a temporary feeling that your sense of balance is not good and that you may fall down, 
Ex: The sight of blood may cause dizziness in some people
例如：有些人看到血會感到頭暈。"
nausea,n,噁心，嘔吐感,"(n) the feeling that you are going to vomit
Ex: Signs of the illness include fever, nausea, and vomiting.
例如：這種疾病的症狀包括發燒、噁心和嘔吐。"
vomiting,n,嘔吐,"(n) the act of bringing food or liquid up from the stomach through the mouth, 
Ex: Severe nausea may lead to vomiting.
例如：嚴重的噁心可能導致嘔吐。"
severe,a,非常嚴重的；劇烈的；慘重的,"(a) causing very great pain, difficulty, worry, damage, etc.; very serious, 
Ex: In parts of Africa there is a severe food/water shortage.
例如：非洲部分地區嚴重缺糧/缺水。"
shortness of breath,n,呼吸急促；呼吸困難,"(n) difficulty breathing normally, 
Ex: Shortness of breath can be a sign of severe disease.
例如：呼吸急促可能是嚴重疾病的徵兆。"
appetite,n,食慾，胃口,"(n) the feeling that you want to eat food, 
Ex: All that walking has given me an appetite.
例：走了這麼多路，我胃口大開。"
