英文,詞性,中文,備註
tablet,"(n)","藥片(n) 平板","a small, solid piece of medicine. [cite: 272, 273]"
primarily,"(ad)","主要地","mainly [cite: 277, 278]"
touchscreen,"(n)","觸控螢幕","a screen that you touch to give instructions to a device. [cite: 279, 280]"
function,"(v)","起...作用;當作...使用","to work as or serve as something. [cite: 283, 284]"
device,"(n)","裝置;設備","a machine or tool designed for a special purpose. [cite: 285, 286]"
desktop,"(n)","桌上型電腦","a personal computer designed to stay in one place, usually on a desk. [cite: 288, 289]"
laptop,"(n)","筆記型電腦","[cite: 291, 292]"
hideable,"(a)","可隱藏的","able to be hidden from view. [cite: 293, 294]"
virtual keyboard,"(n)","虛擬鍵盤","a keyboard shown on a screen instead of a physical one. [cite: 295, 296]"
various,"(a)","各種不同的;各種各樣的","many different. [cite: 298, 299]"
convertible,"(a)","可改變的,可轉變的","able to be arranged in a different way and used for a different purpose. [cite: 300, 301]"
swivel,"(v)","轉動,旋轉","to (cause to) turn around a central point in order to face in another direction. [cite: 302, 303]"
joint,"(n)","接合處;接頭","a point where two parts are connected and can move. [cite: 305, 306]"
slide joint,"(n)","滑動接頭;滑軌接頭","a connector that allows one part to slide against another. [cite: 307, 308]"
hybrid,"(n)","混合體;混合式裝置","something that combines two different forms or functions. [cite: 313, 314]"
detachable,"(a)","可拆下的;可分離的,可分開的","able to be detached. [cite: 316, 317]"
stand-alone,"(a)","(電腦、企業等)獨立的,獨立運作的","used to refer to a computer that can operate on its own, without being connected to a network. [cite: 318, 319]"
booklet,"(n)","書本式雙螢幕平板","a tablet design with two touchscreens like an open book. [cite: 322, 323]"
dual,"(a)","雙重的;雙面的","having two parts or two functions. [cite: 325, 326]"
variety,"(n)","多樣化;變化","the characteristic of often changing and being different. [cite: 327, 328]"
smartphone,"(n)","智慧型手機","a mobile phone that can run apps and connect to the Internet. [cite: 330, 331]"
differ,"(v)","與...不同,跟...不一樣,有區別","to be not like something or someone else, either physically or in another way. [cite: 337, 338, 339]"
considerably,"(ad)","相當","to a large, noticeable, or important degree. [cite: 341, 342]"
user interface,"(n)","使用者介面","the way a person controls and interacts with a device or program. [cite: 344, 346]"
operating system,"(n)","作業系統","the main software that controls a computer or mobile device. [cite: 351, 352]"
processor,"(n)","(電腦的)處理器","the part of a computer that processes data and controls operations. [cite: 357, 358]"
application,"(n)","應用程式","a software program designed for a particular use; an app. [cite: 360, 361]"
crucial,"(a)","至關重要的;關鍵的;決定性的","extremely important or necessary. [cite: 364, 365]"
media consumption,"(n)","媒體內容的觀看與使用","the activity of watching, reading, or listening to digital content. [cite: 367, 368, 369]"
derived from,"(phr v)","來自於,源自","to come from something. [cite: 374, 375]"
architecture,"(n)","架構","the basic design or structure of a computer system. [cite: 386, 387, 388]"
disruptive,"(a)","搗亂的,引起混亂的","causing trouble and therefore stopping something from continuing as usual. [cite: 389, 390, 391]"
dramatically,"(ad)","突然地;明顯地","suddenly or obviously. [cite: 392, 393]"
cannibalizing,"(v)","使用同類的,同類相食,拆用;拼修;拼配","to take parts from a machine or vehicle in order to make or repair another machine or vehicle. [cite: 396, 397, 398]"
associated,"(adj)","相關的;有關聯的","connected with or related to something else. [cite: 402, 403]"
pen computing,"(n)","手寫筆運算;筆式運算","a way of using a computer mainly with a pen or stylus. [cite: 405, 406]"
information display,"(n)","資訊顯示介面","a screen or surface used to show data or visual information. [cite: 408, 409]"
telautograph,"(n)","電傳手寫機;電報傳真機","an early machine that sent handwriting electrically over a distance. [cite: 413, 414, 415]"
contemporary,"(a)","當代的;現代的","existing or happening now, and therefore seeming modern. [cite: 416, 417]"
appear,"(v)","出現;呈現;顯現","to start to be seen or to be present. [cite: 418, 419]"
science fiction,"(n)","科幻小說;科幻作品","stories about future science, technology, or space travel. [cite: 420, 421]"
alternative,"(a)/(n)","可替代的;可供選擇的(n)可供選擇的事物;可供選擇的解決辦法","[cite: 423, 424]"
coin,"(n)/(v)","硬幣 (v) 創造;杜撰(新詞)","to invent a new word or expression. [cite: 426, 427]"
feature,"(v)","以...為特色;以...為重要內容","to include something as an important part. [cite: 429, 430]"
term,"(v)","把...稱為","to call or describe something by a particular name. [cite: 434, 435]"
announce,"(v)","(尤指公開地)宣佈,宣告,通告","to make something known or tell people about something officially. [cite: 441, 442]"
WebPAD,"(n)","WebPAD 平板名稱","the name of an early touchscreen tablet announced by Intel in 1999. [cite: 444, 445]"
re-branded,"(v)","給(機構,公司,產品等)重塑形象","to change the way that an organization, company, or product is seen by the public. [cite: 451, 453]"
field work,"(n)","實地考察;野外研究","study that consists of practical activities that are done away from your school, college, or place of work. [cite: 454, 455]"
usability,"(n)","可用性","the fact of something being easy to use, or the degree to which it is easy to use. [cite: 457, 458, 459]"
release,"(v)","發布;推出","to make a new product available to the public. [cite: 460, 461]"
battery life,"(n)","電池續航力","the length of time a device can work before it needs charging. [cite: 462, 463]"
simplicity,"(n)","簡單,簡易","the fact that something is easy to understand or do. [cite: 465, 466]"
with respect to,"(idiom)","關於","in connection with something. [cite: 470, 471]"
perceive,"(v)","認為;看待;視為","to come to an opinion about something, or have a belief about something. [cite: 478, 479]"
shape,"(n)/(v)","形狀 (v) 決定,影響(性格)","to decide or influence the form of something, especially a belief or idea, or someone's character. [cite: 490, 492]"
iOS,"(n)","蘋果行動作業系統 iOS","Apple's mobile operating system used on devices such as the iPad. [cite: 497, 498]"
debut,"(n)","首演,首次公演","the occasion when someone performs or presents something to the public for the first time. [cite: 500, 501]"
popularize,"(v)","使普及","to make something known and understood by ordinary people. [cite: 502, 503]"
mainstream,"(a)","主流的","considered normal, and having or using ideas, beliefs, etc. that are accepted by most people. [cite: 506, 508, 509]"
multi-touch,"(n)","多點觸控","a touchscreen feature that recognizes more than one touch at the same time. [cite: 510, 511]"
solid-state storage drive,"(n)","固態儲存裝置","a storage device with no moving parts that saves data electronically. [cite: 513, 514]"
USB,"(abbr.)","通用序列匯流排;USB","Universal Serial Bus; a standard connection for electronic devices. [cite: 517, 518, 519]"
Bluetooth,n,藍牙,a wireless technology for connecting nearby devices [cite: 259]
telephony,"(n)","電話通訊","the technology of sending sound over a distance by telephone. [cite: 524, 525]"
