英文,詞性,中文,備註
gyroscope,"n.","陀螺儀；迴轉儀","Accelerometers and gyroscopes are devices widely used in contemporary portable electronic devices."
accelerometer,"n.","加速規；加速度計","An accelerometer is a device that measures the acceleration of an object."
contemporary,"adj.","當代的；現代的","Accelerometers and gyroscopes are widely used in contemporary portable electronic devices."
measure,"v. / n.","測量 (v.)；措施、方法 (n.)","An accelerometer is a device that measures the acceleration of an object."
acceleration,"n.","加速度","Acceleration is quantified in the unit meters per second per second (m/s²)."
quantified,"v., p.p.","被量化；以數值表示","Acceleration is quantified in the unit meters per second per second (m/s²)."
g-force,"n.","G 力；重力加速度","Acceleration is popularly measured in terms of g-force (g)."
sensitive,"adj.","敏感的；靈敏的","Highly sensitive accelerometers are components of inertial navigation systems."
component,"n.","組件；元件；零件","Accelerometers are components of inertial navigation systems for aircraft and missiles."
inertial,"adj.","慣性的","Accelerometers are components of inertial navigation systems for aircraft and missiles."
axis,"n.","軸 (複數 axes)","Single and multi-axis models of accelerometer are available to detect magnitude and direction of acceleration."
detect,"v.","偵測；察覺","The accelerometer can detect magnitude and direction of acceleration."
magnitude,"n.","大小；強度；量值","Accelerometers detect magnitude and direction of acceleration."
sense,"v. / n.","感知；感應 (v.)；感覺、知覺 (n.)","Accelerometers can sense orientation, coordinate acceleration, vibration and shock."
orientation,"n.","方位；方向；定位","The screen adjusts based on the orientation of the device."
coordinate,"n.","座標；座標值","Accelerometers sense coordinate acceleration in 3D space."
vibration,"n.","震動；振動","Electronic devices use accelerometers to detect vibration and shock."
shock,"n.","衝擊；撞擊","A free-fall sensor detects shock when the device is falling."
align,"v.","使對齊；使校直；使一致","Electronic devices use accelerometers to align the screen depending on the direction the device is held."
portrait,"n.","肖像畫 (n.)；portrait mode = 直式模式","The screen switches between portrait and landscape modes."
landscape,"n.","山水畫、風景畫；風景 (n.)；landscape mode = 橫式模式","The screen switches between portrait and landscape modes."
micromachined,"adj.","精密加工的；以微機械製程製作的","Micromachined accelerometers are increasingly present in video game controllers."
